eval_id,Level,Patch,TrueLabel,PredictedProb
StableDiffusionv1.4linear,1,CLS,0,0.0013699987
StableDiffusionv1.4linear,1,CLS,0,0.1392809
StableDiffusionv1.4linear,1,CLS,0,0.12398798
StableDiffusionv1.4linear,1,CLS,0,0.012248877
StableDiffusionv1.4linear,1,CLS,0,0.0023271234
StableDiffusionv1.4linear,1,CLS,0,0.012543256
StableDiffusionv1.4linear,1,CLS,0,0.01789509
StableDiffusionv1.4linear,1,CLS,0,0.0002665701
StableDiffusionv1.4linear,1,CLS,0,0.024082016
StableDiffusionv1.4linear,1,CLS,0,0.28473797
StableDiffusionv1.4linear,1,CLS,0,0.1574143
StableDiffusionv1.4linear,1,CLS,0,0.005684915
StableDiffusionv1.4linear,1,CLS,0,0.065969914
StableDiffusionv1.4linear,1,CLS,0,0.056604818
StableDiffusionv1.4linear,1,CLS,0,0.12901875
StableDiffusionv1.4linear,1,CLS,0,0.23757592
StableDiffusionv1.4linear,1,CLS,0,0.01139286
StableDiffusionv1.4linear,1,CLS,0,0.0027800445
StableDiffusionv1.4linear,1,CLS,0,0.4864781
StableDiffusionv1.4linear,1,CLS,0,0.41100645
StableDiffusionv1.4linear,1,CLS,0,0.013600863
StableDiffusionv1.4linear,1,CLS,0,0.043285646
StableDiffusionv1.4linear,1,CLS,0,0.023389624
StableDiffusionv1.4linear,1,CLS,0,0.020468403
StableDiffusionv1.4linear,1,CLS,0,0.002424979
StableDiffusionv1.4linear,1,CLS,0,0.0014030066
StableDiffusionv1.4linear,1,CLS,0,0.036472946
StableDiffusionv1.4linear,1,CLS,0,0.074000694
StableDiffusionv1.4linear,1,CLS,0,0.014658026
StableDiffusionv1.4linear,1,CLS,0,0.9166297
StableDiffusionv1.4linear,1,CLS,0,0.029889582
StableDiffusionv1.4linear,1,CLS,0,0.7364377
StableDiffusionv1.4linear,1,CLS,0,0.093926266
StableDiffusionv1.4linear,1,CLS,0,0.029497804
StableDiffusionv1.4linear,1,CLS,0,0.039762106
StableDiffusionv1.4linear,1,CLS,0,0.025022276
StableDiffusionv1.4linear,1,CLS,0,0.0007751188
StableDiffusionv1.4linear,1,CLS,0,0.05555502
StableDiffusionv1.4linear,1,CLS,0,1.7449427e-05
StableDiffusionv1.4linear,1,CLS,0,0.0059145894
StableDiffusionv1.4linear,1,CLS,0,0.017550604
StableDiffusionv1.4linear,1,CLS,0,0.029133832
StableDiffusionv1.4linear,1,CLS,0,0.19116943
StableDiffusionv1.4linear,1,CLS,0,0.011424342
StableDiffusionv1.4linear,1,CLS,0,0.0012320429
StableDiffusionv1.4linear,1,CLS,0,0.00025967072
StableDiffusionv1.4linear,1,CLS,0,0.059975393
StableDiffusionv1.4linear,1,CLS,0,0.04880002
StableDiffusionv1.4linear,1,CLS,0,0.08420064
StableDiffusionv1.4linear,1,CLS,0,0.6260252
StableDiffusionv1.4linear,1,CLS,0,0.7938124
StableDiffusionv1.4linear,1,CLS,0,0.018774992
StableDiffusionv1.4linear,1,CLS,0,0.00039598285
StableDiffusionv1.4linear,1,CLS,0,0.6912999
StableDiffusionv1.4linear,1,CLS,0,0.01067526
StableDiffusionv1.4linear,1,CLS,0,0.0008918313
StableDiffusionv1.4linear,1,CLS,0,0.0052292016
StableDiffusionv1.4linear,1,CLS,0,0.19994865
StableDiffusionv1.4linear,1,CLS,0,0.024192905
StableDiffusionv1.4linear,1,CLS,0,0.0052733584
StableDiffusionv1.4linear,1,CLS,0,0.0032023431
StableDiffusionv1.4linear,1,CLS,0,0.0022379754
StableDiffusionv1.4linear,1,CLS,0,0.2471712
StableDiffusionv1.4linear,1,CLS,0,0.10146798
StableDiffusionv1.4linear,1,CLS,0,0.49408197
StableDiffusionv1.4linear,1,CLS,0,0.08743887
StableDiffusionv1.4linear,1,CLS,0,0.013648617
StableDiffusionv1.4linear,1,CLS,0,0.1594161
StableDiffusionv1.4linear,1,CLS,0,0.06319435
StableDiffusionv1.4linear,1,CLS,0,0.4237139
StableDiffusionv1.4linear,1,CLS,0,0.010024851
StableDiffusionv1.4linear,1,CLS,0,0.15008543
StableDiffusionv1.4linear,1,CLS,0,0.0030232582
StableDiffusionv1.4linear,1,CLS,0,0.0019498613
StableDiffusionv1.4linear,1,CLS,0,0.41446763
StableDiffusionv1.4linear,1,CLS,0,0.22718695
StableDiffusionv1.4linear,1,CLS,0,0.011831688
StableDiffusionv1.4linear,1,CLS,0,0.0004117837
StableDiffusionv1.4linear,1,CLS,0,0.02986074
StableDiffusionv1.4linear,1,CLS,0,0.39172584
StableDiffusionv1.4linear,1,CLS,0,0.07509761
StableDiffusionv1.4linear,1,CLS,0,0.0010807893
StableDiffusionv1.4linear,1,CLS,0,0.0007154486
StableDiffusionv1.4linear,1,CLS,0,0.019389115
StableDiffusionv1.4linear,1,CLS,0,0.15867236
StableDiffusionv1.4linear,1,CLS,0,0.0116757965
StableDiffusionv1.4linear,1,CLS,0,0.16983458
StableDiffusionv1.4linear,1,CLS,0,0.0016322016
StableDiffusionv1.4linear,1,CLS,0,0.0019459428
StableDiffusionv1.4linear,1,CLS,0,0.008697594
StableDiffusionv1.4linear,1,CLS,0,0.06695249
StableDiffusionv1.4linear,1,CLS,0,0.16171387
StableDiffusionv1.4linear,1,CLS,0,0.8013849
StableDiffusionv1.4linear,1,CLS,0,0.29773292
StableDiffusionv1.4linear,1,CLS,0,0.0077292128
StableDiffusionv1.4linear,1,CLS,0,0.009212587
StableDiffusionv1.4linear,1,CLS,0,0.00012346401
StableDiffusionv1.4linear,1,CLS,0,0.23283356
StableDiffusionv1.4linear,1,CLS,0,0.16573519
StableDiffusionv1.4linear,1,CLS,0,0.027154433
StableDiffusionv1.4linear,1,CLS,0,0.49453697
StableDiffusionv1.4linear,1,CLS,0,0.044954114
StableDiffusionv1.4linear,1,CLS,0,0.10553871
StableDiffusionv1.4linear,1,CLS,0,0.017626472
StableDiffusionv1.4linear,1,CLS,0,0.004721624
StableDiffusionv1.4linear,1,CLS,0,0.033008516
StableDiffusionv1.4linear,1,CLS,0,0.033483174
StableDiffusionv1.4linear,1,CLS,0,0.00030248222
StableDiffusionv1.4linear,1,CLS,0,0.018739847
StableDiffusionv1.4linear,1,CLS,0,0.00038139767
StableDiffusionv1.4linear,1,CLS,0,0.008831667
StableDiffusionv1.4linear,1,CLS,0,0.9348374
StableDiffusionv1.4linear,1,CLS,0,0.021821706
StableDiffusionv1.4linear,1,CLS,0,0.0026576412
StableDiffusionv1.4linear,1,CLS,0,0.0014016083
StableDiffusionv1.4linear,1,CLS,0,0.0059914803
StableDiffusionv1.4linear,1,CLS,0,0.07429557
StableDiffusionv1.4linear,1,CLS,0,0.053437967
StableDiffusionv1.4linear,1,CLS,0,0.013189366
StableDiffusionv1.4linear,1,CLS,0,0.15063158
StableDiffusionv1.4linear,1,CLS,0,0.21127398
StableDiffusionv1.4linear,1,CLS,0,0.017835654
StableDiffusionv1.4linear,1,CLS,0,0.005976624
StableDiffusionv1.4linear,1,CLS,0,0.3368263
StableDiffusionv1.4linear,1,CLS,0,0.030726628
